Sales,Quantity,Discount,Profit,Order Date,Month
261.96,2,0.0,41.9136,2016-11-08,11
731.94,3,0.0,219.582,2016-11-08,11
14.62,2,0.0,6.8714,2016-06-12,6
957.5775,5,0.45,-383.031,2015-10-11,10
22.368,2,0.2,2.5164,2015-10-11,10
48.86,7,0.0,14.1694,2014-06-09,6
7.28,4,0.0,1.9656,2014-06-09,6
907.152,6,0.2,90.7152,2014-06-09,6
18.504,3,0.2,5.7825,2014-06-09,6
114.9,5,0.0,34.47,2014-06-09,6
1706.184,9,0.2,85.3092,2014-06-09,6
911.424,4,0.2,68.3568,2014-06-09,6
15.552,3,0.2,5.4432,2017-04-15,4
407.976,3,0.2,132.5922,2016-12-05,12
68.81,5,0.8,-123.858,2015-11-22,11
2.544,3,0.8,-3.816,2015-11-22,11
665.88,6,0.0,13.3176,2014-11-11,11
55.5,2,0.0,9.99,2014-05-13,5
8.56,2,0.0,2.4824,2014-08-27,8
213.48,3,0.2,16.011,2014-08-27,8
22.72,4,0.2,7.384,2014-08-27,8
19.46,7,0.0,5.0596,2016-12-09,12
60.34,7,0.0,15.6884,2016-12-09,12
71.372,2,0.3,-1.0196,2017-07-16,7
1044.63,3,0.0,240.2649,2015-09-25,9
11.648,2,0.2,4.2224,2016-01-16,1
90.57,3,0.0,11.7741,2016-01-16,1
3083.43,7,0.5,-1665.0522,2015-09-17,9
9.618,2,0.7,-7.0532,2015-09-17,9
124.2,3,0.2,15.525,2015-09-17,9
3.264,2,0.2,1.1016,2015-09-17,9
86.304,6,0.2,9.7092,2015-09-17,9
6.858,6,0.7,-5.715,2015-09-17,9
15.76,2,0.2,3.546,2015-09-17,9
29.472,3,0.2,9.9468,2017-10-19,10
1097.544,7,0.2,123.4737,2016-12-08,12
190.92,5,0.6,-147.963,2016-12-08,12
113.328,9,0.2,35.415,2015-12-27,12
532.3992,3,0.32,-46.9764,2015-12-27,12
212.058,3,0.3,-15.147,2015-12-27,12
371.168,4,0.2,41.7564,2015-12-27,12
147.168,4,0.2,16.5564,2017-09-10,9
77.88,2,0.0,3.894,2016-07-17,7
95.616,2,0.2,9.5616,2017-09-19,9
45.98,2,0.0,19.7714,2016-03-11,3
17.46,2,0.0,8.2062,2016-03-11,3
211.96,4,0.0,8.4784,2014-10-20,10
45.0,3,0.0,4.95,2016-06-20,6
21.8,2,0.0,6.104,2016-06-20,6
38.22,6,0.0,17.9634,2015-04-18,4
75.18,6,0.0,35.3346,2015-04-18,4
6.16,2,0.0,2.9568,2015-04-18,4
89.99,1,0.0,17.0981,2015-04-18,4
15.26,7,0.0,6.2566,2016-12-11,12
1029.95,5,0.0,298.6855,2016-12-11,12
208.56,6,0.0,52.14,2016-06-17,6
32.4,5,0.0,15.552,2016-06-17,6
319.41,5,0.1,7.098,2016-06-17,6
14.56,2,0.0,6.9888,2016-06-17,6
30.0,2,0.0,3.3,2016-06-17,6
48.48,4,0.2,16.362,2016-06-17,6
1.68,1,0.0,0.84,2016-06-17,6
13.98,2,0.0,6.1512,2015-11-24,11
25.824,6,0.2,9.3612,2015-11-24,11
146.73,3,0.0,68.9631,2015-11-24,11
79.76,4,0.0,22.3328,2015-11-24,11
213.115,5,0.3,-15.2225,2015-04-30,4
1113.024,8,0.2,111.3024,2014-12-05,12
167.968,4,0.2,62.988,2014-12-05,12
75.88,2,0.0,35.6636,2016-06-04,6
4.616,1,0.2,1.731,2016-09-18,9
19.05,3,0.0,8.763,2017-09-14,9
831.936,8,0.2,-114.3912,2015-04-26,4
97.04,2,0.2,1.213,2015-04-26,4
72.784,1,0.2,-18.196,2015-04-26,4
1.248,3,0.8,-1.9344,2017-12-09,12
9.708,3,0.6,-5.8248,2017-12-09,12
27.24,3,0.2,2.724,2017-12-09,12
19.3,5,0.6,-14.475,2014-11-26,11
208.16,1,0.0,56.2032,2016-06-12,6
16.74,3,0.0,8.0352,2016-06-12,6
14.9,5,0.0,4.172,2014-10-12,10
21.39,1,0.0,6.2031,2014-10-12,10
200.984,7,0.2,62.8075,2015-09-03,9
230.376,3,0.2,-48.9549,2017-11-13,11
301.96,2,0.0,33.2156,2017-05-28,5
19.99,1,0.0,6.7966,2017-10-26,10
6.16,2,0.0,2.9568,2017-10-26,10
158.368,7,0.2,13.8572,2016-04-05,4
20.1,3,0.0,6.633,2016-09-17,9
73.584,2,0.2,8.2782,2016-09-17,9
6.48,1,0.0,3.1104,2016-09-17,9
12.96,2,0.0,6.2208,2015-01-31,1
53.34,3,0.0,16.5354,2015-01-31,1
32.96,2,0.0,16.1504,2015-01-31,1
5.682,1,0.7,-3.788,2017-11-06,11
96.53,7,0.0,40.5426,2017-11-09,11
51.312,3,0.2,17.9592,2017-06-17,6
77.88,6,0.0,22.5852,2016-09-06,9
64.624,7,0.2,22.6184,2016-08-29,8
95.976,3,0.2,-10.7973,2016-08-29,8
1.788,3,0.8,-3.0396,2016-08-29,8
23.92,4,0.0,11.7208,2016-12-01,12
238.896,6,0.2,-26.8758,2015-11-13,11
102.36,3,0.2,-3.8385,2015-11-13,11
36.882,3,0.7,-25.8174,2015-11-13,11
74.112,8,0.2,17.6016,2017-11-23,11
27.992,1,0.2,2.0994,2017-11-23,11
3.304,1,0.2,1.0738,2017-11-23,11
339.96,5,0.2,67.992,2015-10-15,10
41.96,2,0.0,10.9096,2017-12-25,12
75.96,2,0.0,22.788,2016-11-03,11
27.24,6,0.0,13.3476,2016-11-03,11
40.096,14,0.2,14.5348,2014-08-25,8
4.72,2,0.2,1.652,2014-08-25,8
23.976,3,0.2,7.4925,2014-08-25,8
130.464,6,0.2,44.0316,2014-08-25,8
787.53,3,0.0,165.3813,2015-03-02,3
157.794,1,0.7,-115.7156,2015-04-05,4
47.04,3,0.0,18.3456,2016-06-12,6
30.84,4,0.0,13.878,2016-06-12,6
226.56,6,0.0,63.4368,2016-06-12,6
115.02,9,0.0,51.759,2016-06-12,6
68.04,7,0.0,19.7316,2016-06-12,6
600.558,3,0.3,-8.5794,2014-12-26,12
617.7,6,0.5,-407.682,2014-09-20,9
2.388,2,0.7,-1.8308,2017-11-05,11
243.992,7,0.2,30.499,2017-11-05,11
81.424,2,0.2,-9.1602,2016-11-06,11
238.56,3,0.0,26.2416,2016-11-06,11
59.97,5,0.4,-11.994,2017-02-02,2
78.304,2,0.2,29.364,2017-02-02,2
21.456,9,0.2,6.9732,2017-02-02,2
20.04,3,0.0,9.6192,2016-10-13,10
35.44,1,0.0,16.6568,2016-10-13,10
11.52,4,0.0,3.456,2016-10-13,10
4.02,2,0.0,1.9698,2016-10-13,10
76.176,3,0.2,26.6616,2016-10-13,10
65.88,6,0.0,18.4464,2016-10-13,10
43.12,14,0.0,20.6976,2016-10-13,10
82.8,2,0.2,10.35,2016-09-05,9
8.82,3,0.0,2.3814,2017-09-18,9
10.86,3,0.0,5.1042,2017-09-18,9
143.7,3,0.0,68.976,2017-09-18,9
839.43,3,0.0,218.2518,2017-12-22,12
671.93,7,0.0,20.1579,2015-09-07,9
93.888,4,0.2,12.9096,2014-10-22,10
384.45,11,0.0,103.8015,2016-12-05,12
149.97,3,0.0,5.9988,2016-12-05,12
1951.84,8,0.0,585.552,2016-12-05,12
171.55,5,0.0,80.6285,2016-12-05,12
157.92,5,0.2,17.766,2016-03-13,3
203.184,2,0.2,15.2388,2016-03-13,3
58.38,7,0.0,26.271,2015-05-31,5
105.52,4,0.0,48.5392,2015-05-31,5
80.88,6,0.0,21.0288,2015-05-31,5
6.63,3,0.0,1.7901,2015-05-28,5
457.568,2,0.2,51.4764,2014-03-01,3
14.62,2,0.0,6.8714,2016-11-20,11
944.93,7,0.0,236.2325,2016-11-20,11
5.98,1,0.0,2.691,2016-05-11,5
54.384,2,0.2,1.3596,2015-12-28,12
28.4,5,0.0,13.348,2016-11-16,11
27.68,2,0.2,9.688,2016-11-07,11
9.936,3,0.2,2.7324,2014-09-08,9
8159.952,8,0.4,-1359.992,2014-09-08,9
275.928,3,0.2,-58.6347,2014-09-08,9
1740.06,9,0.3,-24.858,2014-09-08,9
32.064,6,0.2,6.8136,2014-09-08,9
177.98,5,0.8,-453.849,2014-09-08,9
